new,host,a,soa,ns,status_code,cname,mx,txt,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],dashlane-sso.sendcloud.com,"52.214.174.222, 54.72.136.226","ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",,NOERROR,d-3nn01zv7fg.execute-api.eu-west-1.amazonaws.com,,,,,,,,
[x],dbms-access-madebyan.shared.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],dev2-athena.carriersdk.sendcloud.com,"3.123.111.203, 18.159.140.23, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],docs.sendcloud.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,NOERROR,dmn40brhas6cm.cloudfront.net,,,,,,,,
[x],ecwid-static.sendcloud.com,"18.155.129.83, 18.155.129.58, 18.155.129.69, 18.155.129.22","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,cloudfront,,,,
[x],ecwid.sendcloud.com,"3.123.111.203, 3.68.81.75, 18.159.140.23","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eks-third-party-c0a1b12ae2dbb1f3.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],eks-ci.eu-central-1.infra.sendcloud.com,,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eks-ci-a4d218863957ea93.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],eks-prod.eu-central-1.infra.sendcloud.com,,,,NOERROR,,,,,,,,,
[x],eks-test.eu-central-1.infra.sendcloud.com,"3.127.118.244, 3.124.56.14, 3.122.144.85","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],eks-third-party.eu-central-1.infra.sendcloud.com,"18.159.140.23, 3.68.81.75, 3.123.111.203","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],em9591.sendcloud.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,u19111432.wl183.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:167.89.68.163 -all,,,,,,
[x],engineeringteam-connecterp-demo.carriersdk.sendcloud.com,"3.68.81.75, 18.159.140.23, 3.123.111.203","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],eu-central-1-0-eks.infra.sendcloud.com,"35.158.154.187, 3.124.67.115, 35.156.143.44","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eu-central-1-0-eks-125be72c329d967c.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],eu-central-1-0.app.sendcloud.com,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],eu-central-1-1.app.sendcloud.com,"18.157.144.232, 3.71.225.113, 18.157.121.123","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],eu-central-1-shared-eks.infra.sendcloud.com,"3.72.55.244, 52.57.218.212, 35.157.161.78","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],eur-p-gen-6-126-254-66.carriersdk.sendcloud.com,"18.159.140.23, 3.123.111.203, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],events.registration.sendcloud.com,"18.211.126.100, 44.197.35.76, 52.45.71.49, 18.232.224.214, 34.194.111.198, 54.146.232.143","ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",,NOERROR,sendcloud.registration.goldcast.io,,,,,,,,
[x],events.sendcloud.com,"18.66.112.2, 18.66.112.10, 18.66.112.104, 18.66.112.55","ns-857.awsdns-43.net, awsdns-hostmaster.amazon.com","ns-1226.awsdns-25.org, ns-1880.awsdns-43.co.uk, ns-350.awsdns-43.com, ns-857.awsdns-43.net",NOERROR,d2oavdkagsbokx.cloudfront.net,,,True,cloudfront,,"2600:9000:223f:4600:5:e733:4c40:93a1, 2600:9000:223f:1000:5:e733:4c40:93a1, 2600:9000:223f:2400:5:e733:4c40:93a1, 2600:9000:223f:8000:5:e733:4c40:93a1, 2600:9000:223f:6a00:5:e733:4c40:93a1, 2600:9000:223f:6e00:5:e733:4c40:93a1, 2600:9000:223f:3600:5:e733:4c40:93a1, 2600:9000:223f:200:5:e733:4c40:93a1",,
[x],exact-online.sendcloud.com,"18.159.140.23, 3.68.81.75, 3.123.111.203","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eks-third-party-c0a1b12ae2dbb1f3.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],filmsex88.carriersdk.sendcloud.com,"18.159.140.23, 3.123.111.203, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],forge-outbound-proxy.carriersdk.sendcloud.com,"3.123.111.203, 18.159.140.23, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],fr-mg5.carriersdk.sendcloud.com,"3.68.81.75, 3.123.111.203, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],go.sendcloud.com,"199.60.103.28, 199.60.103.228","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"4114841.group41.sites.hubspot.net, group41.sites.hscoscdn40.net",,,,,,"2606:2c40::c73c:67e4, 2606:2c40::c73c:671c",,
